pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
obj6,Ousmane Sow,online,Indien depouillant un soldat mort,1999,composite,,http://www.ousmanesow.com,6,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj6/full/full/0/default.jpg,/img/derivatives/iiif/obj6/manifest.json
obj60,,,Lecture at the Smithsonian Museum of the American Indian,3/25/06,photo,,,60,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj60/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj60/full/full/0/default.jpg,/img/derivatives/iiif/obj60/manifest.json
obj61,,,Lecture at the Smithsonian Museum of the American Indian,3/25/06,photo,,,61,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj61/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj61/full/full/0/default.jpg,/img/derivatives/iiif/obj61/manifest.json
obj62,,,Lecture at the Smithsonian Museum of the American Indian,3/25/06,photo,,,62,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj62/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj62/full/full/0/default.jpg,/img/derivatives/iiif/obj62/manifest.json
obj63,,,Jemison 02,3/25/06,photo,,,63,gallery_item,visual-gallery,,,
obj64,,,Sign Language,5/7/06,photo,,,64,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj64/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj64/full/full/0/default.jpg,/img/derivatives/iiif/obj64/manifest.json
obj65,,,Sullivan St. NYC,5/7/06,photo,,,65,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj65/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj65/full/full/0/default.jpg,/img/derivatives/iiif/obj65/manifest.json
obj66,,,Melting Point,5/7/06,photo,,,66,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj66/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj66/full/full/0/default.jpg,/img/derivatives/iiif/obj66/manifest.json
obj67,,,End of the Trail?,5/7/06,photo,,,67,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj67/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj67/full/full/0/default.jpg,/img/derivatives/iiif/obj67/manifest.json
obj68,,,Equus,5/7/06,photo,,,68,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj68/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj68/full/full/0/default.jpg,/img/derivatives/iiif/obj68/manifest.json
obj69,,,Once A Warrior,5/7/06,photo,,,69,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj69/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj69/full/full/0/default.jpg,/img/derivatives/iiif/obj69/manifest.json
obj7,Ousmane Sow,online, La riposte de Piz'i (Chief Gall),1999,composite,,http://www.ousmanesow.com,7,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj7/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj7/full/full/0/default.jpg,/img/derivatives/iiif/obj7/manifest.json
obj70,,,Not At Liberty,5/7/06,photo,,,70,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj70/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj70/full/full/0/default.jpg,/img/derivatives/iiif/obj70/manifest.json
obj71,,,Equestrian Moment,5/7/06,photo,,,71,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj71/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj71/full/full/0/default.jpg,/img/derivatives/iiif/obj71/manifest.json
obj72,,,Stilled Life,5/7/06,photo,,,72,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj72/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj72/full/full/0/default.jpg,/img/derivatives/iiif/obj72/manifest.json
obj73,,,Western Doorstep,5/27/06,photo,,,73,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj73/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj73/full/full/0/default.jpg,/img/derivatives/iiif/obj73/manifest.json
obj74,Wm. Drennan,,Survivors,1914,photo,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",https://lccn.loc.gov/2007661908,74,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj74/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj74/full/full/0/default.jpg,/img/derivatives/iiif/obj74/manifest.json
obj75,,,At Wyalusing,5/27/06,photo,,,75,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj75/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj75/full/full/0/default.jpg,/img/derivatives/iiif/obj75/manifest.json
obj76,,,Cornplanter,5/27/06,photo,,,76,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj76/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj76/full/full/0/default.jpg,/img/derivatives/iiif/obj76/manifest.json
obj77,,,At The Unveiling,5/27/06,photo,,,77,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj77/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj77/full/full/0/default.jpg,/img/derivatives/iiif/obj77/manifest.json
obj78,,,Red Jacket,5/27/06,photo,,,78,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj78/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj78/full/full/0/default.jpg,/img/derivatives/iiif/obj78/manifest.json
obj79,,,Growing Corn,5/27/06,photo,,,79,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj79/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj79/full/full/0/default.jpg,/img/derivatives/iiif/obj79/manifest.json
obj8,Ousmane Sow,online,Tazsunke Witko (Crazy Horse) est assailli,1999,composite,,http://www.ousmanesow.com,8,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj8/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj8/full/full/0/default.jpg,/img/derivatives/iiif/obj8/manifest.json
obj80,,,The Haudenosaunee!,5/27/06,photo,,,80,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj80/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj80/full/full/0/default.jpg,/img/derivatives/iiif/obj80/manifest.json
obj81,,,Tioga (Turning) Point,5/27/06,photo,,,81,gallery_item,visual-gallery,"/img/derivatives/iiif/images/obj81/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj81/full/full/0/default.jpg,/img/derivatives/iiif/obj81/manifest.json
